spotify_id,name,artists
4BgTgPsNeDz2KG4QsshjL9,BLUEBERRY,Guzior
6ggmioMS1gYK0I5AAdv2NH,Gelato,Taco Hemingway
5CTNmaXOY1nSnIUsxCpiyU,Mix Sałat,Taco Hemingway
2hoQy05lPYcCySUSipQkoU,Od nowa,Kwiat Jabłoni
4EqPIm07a55pJQRSZw2Z4X,Supermoce (feat. Igo, Mrozu & Vito Bambino)
1g88Qpz9ZsJM1hlB3PLdgY,Taxi,Kizo
3kjMeY6ZgOZYAFRiPHMqmS,Cichosza,Taco Hemingway
77zPD9o9tBR5hhsxdDZJeV,Sextape,Sobel
3AmVHFyIPCDYkqzYTfizOt,Zawsze chciałem,Gibbs
1Z7cVYHnRJKHxQJFE9MP4y,Nametag,Taco Hemingway
4u3pVIKFDquOVeyvkc1Hjh,5 INFLUENCEREK,Zeamsone
5A2baHJCFwwewI5z0zkXdo,Całe Lata,Taco Hemingway
47SjbGWuDZnVvSFyZEJCxG,Pocałunki (M. Pawlikowska- Jasnorzewska),sanah
1cnkQScXEGBZKqqy6EjVZo,NIE MA CIĘ,Fukaj
2aVHbey5IovZh4mnKN2AcT,Millie Walky,bambi
3QHZAr43uvIGpWfJAHhFX3,Explosion Ech poleczko - DNSQ Remix,Kalwi & Remi
2VYT8yaxvwXyRvAWZqM7Ws,Prywatny bal,Cyrko
2FHBvsUs4tpHSzIi3GvRjK,Ground Zero,PRO8L3M
24MMjyA3NLqCsDJfsn51eg,Mi Amor,Sharn
6oz1L5jcqZWYuId7nxvIan,Still Rollin,Shubh
4IR5cCTkL4DjgJwtSijbjL,Pardes Katenda,Adnan Dhool
0xIuPDzJSnJywALez8dwKR,With You,AP Dhillon
6c4Po8zyQjB4cR5XgLhcGb,9:45,Prabh Singh
5rpCUsEfBLIumvrxrahnKF,Wishes,Hasan Raheem
0YQJoDL6f46J0n1rOVkpxJ,Softly,Karan Aujla
5PUXKVVVQ74C3gl5vKy9Li,Heeriye (feat. Arijit Singh),Jasleen Royal
4eBvRhTJ2AcxCsbfTUjoRp,Cheques,Shubh
3xMHXmedL5Rvfxmiar9Ryv,Chaleya,Anirudh Ravichander
5ZLkihi6DVsHwDL3B8ym1t,One Love,Shubh
3zSSCPpLZ5Oc8nelhhGjKz,Tu hai kahan,AUR
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red
3WX6nwhznaVTD9CazfMV4F,Lustro,Bedoes 2115
1JgknGBbrfmEHeOZH051SS,ecstacy (slowed),SUICIDAL-IDOL
4voI3idZUVyfVI5Vb2zfAg,1-800-OŚWIECENIE,Taco Hemingway
2yxPqxHbj1L7vrCpHLtAcG,mori,Dawid Podsiadło
6Vzl09EVLdB1MTZdDwm2Zd,Makarena Freestyle,Taco Hemingway
2HTqkC3N9mf5rD1z8Vds1a,WTC,Guzior
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood
3YdH5OPiQQt39x7MpgOwUT,Jestem Twoją Bajką,Kleks
08Isz2ETWSBhvIl8UpKYsp,No Love,Shubh
