"spotify_id","name","artists","snapshot_date","is_explicit","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","__index_level_0__"
"1Qrg8KqiBpW07V7PNxwwwL","Kill Bill","SZA","2023-10-18 00:00:00.000000000",false,153946,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4,1129540
"0JXXNGljqupsJaZsgSbMZV","Sure Thing","Miguel","2023-10-18 00:00:00.000000000",false,195373,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4,1129538
"7aqfrAY2p9BUSiupwk3svU","First Person Shooter (feat. J. Cole)","Drake, J. Cole","2023-10-18 00:00:00.000000000",true,247444,0.47,0.64,2,-7.779,1,0.32,0.0277,0,0.382,0.248,163.92,4,1129535
"68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","J. Cole","2023-10-18 00:00:00.000000000",true,292799,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4,1129534
"3xKsf9qdS1CyvXSMEid6g8","Pink + White","Frank Ocean","2023-10-18 00:00:00.000000000",false,184516,0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3,1129533
"7K3BhSpAxZBznislvUMVtn","Last Night","Morgan Wallen","2023-10-18 00:00:00.000000000",true,163854,0.492,0.675,6,-5.456,1,0.0389,0.467,0,0.142,0.478,203.759,4,1129531
"3JvrhDOgAt6p7K8mDyZwRd","Riptide","Vance Joy","2023-10-18 00:00:00.000000000",false,204280,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4,1129530
"3h2IRgTZrU4hSNCePszT23","Italia","UNDERGRUNN","2023-10-18 00:00:00.000000000",true,170281,0.748,0.703,11,-6.349,1,0.0464,0.0336,0.0000536,0.137,0.634,110.011,4,1129610
"64TE68KnBhfRpMYI7uwBpl","Kiss 2024 Stabekkrussen (Hjemmesnekk)","Sportsalleen, LilNeya, LilRizze, LilPu$$y, LilBing, LilElli$","2023-10-18 00:00:00.000000000",false,150000,0.663,0.863,3,-4.371,0,0.229,0.0171,0.000281,0.417,0.815,168.12,4,1129611
"6ZprqcYFC6D9eIZaCoqrSn","Gently (feat. Bad Bunny)","Drake, Bad Bunny","2023-10-18 00:00:00.000000000",true,133694,0.868,0.407,10,-7.735,1,0.295,0.0479,0.000111,0.139,0.255,107.524,4,1129694
"5HR7yfhSCeoOHRQN05XnZQ","QUE VUELVAS","Grupo Frontera, Carin Leon","2023-10-18 00:00:00.000000000",false,169418,0.497,0.644,10,-4.309,1,0.0443,0.188,0,0.114,0.779,162.542,4,1129692
"6uIIdjYTxxpWOyWuVXrKQO","Que Onda","Calle 24, Chino Pacas, Fuerza Regida","2023-10-18 00:00:00.000000000",true,191466,0.808,0.944,10,-4.863,0,0.0408,0.183,0.00000111,0.138,0.937,124.934,3,1129690
"6XSqqQIy7Lm7SnwxS4NrGx","Classy 101","Feid, Young Miko","2023-10-18 00:00:00.000000000",true,195986,0.859,0.658,11,-4.79,1,0.159,0.145,0,0.12,0.672,100.065,4,1129689
"1iLbUmb2b2btyAAcQ68a1p","Milo J: Bzrp Music Sessions, Vol. 57","Bizarrap, Milo j","2023-10-18 00:00:00.000000000",false,189901,0.795,0.553,4,-8.496,0,0.244,0.527,0.00000284,0.112,0.739,124.109,4,1129688
"7ucEkWU0SVy0XFdfXESgfY","LOS PITS","Bad Bunny","2023-10-18 00:00:00.000000000",true,250851,0.751,0.669,7,-5.367,1,0.445,0.442,0.00000211,0.15,0.69,93.705,4,1129687
"4Jc7252S1P99DjQ1lNGEOc","CYBERTRUCK","Bad Bunny","2023-10-18 00:00:00.000000000",true,191959,0.704,0.905,6,-4.948,0,0.338,0.371,0.00000209,0.107,0.0991,151.823,4,1129686
"1U3A66OHQyTu4N2QTMsP86","GRACIAS POR NADA","Bad Bunny","2023-10-18 00:00:00.000000000",true,177450,0.778,0.555,6,-5.473,0,0.231,0.325,0,0.111,0.271,143.916,4,1129685
"1C7lXfx4Y5maVl4AgUVlHA","ACHO PR","Bad Bunny, Arcángel, De La Ghetto, Ñengo Flow","2023-10-18 00:00:00.000000000",true,359647,0.541,0.796,7,-5.177,1,0.347,0.317,0,0.193,0.469,85.205,4,1129684
"4SW9gHnW8NfKOdqmh0ij45","Fruto","Bizarrap, Milo j","2023-10-18 00:00:00.000000000",false,132294,0.801,0.517,2,-8.205,0,0.269,0.494,0.00000145,0.355,0.923,160.254,4,1129695
"6XbtvPmIpyCbjuT0e8cQtp","Columbia","Quevedo","2023-10-18 00:00:00.000000000",false,186000,0.668,0.712,5,-5.927,1,0.0381,0.369,0.0000213,0.108,0.264,100.02,4,1129683
"7mXuWTczZNxG5EDcjFEuJR","LADY GAGA","Peso Pluma, Gabito Ballesteros, Junior H","2023-10-18 00:00:00.000000000",true,212878,0.646,0.736,5,-7.118,0,0.0449,0.216,0,0.415,0.873,140.098,3,1129681
"4pcafPzLDSqQktqSpxHL3E","THUNDER Y LIGHTNING","Bad Bunny, Eladio Carrion","2023-10-18 00:00:00.000000000",true,217133,0.552,0.744,4,-2.656,0,0.124,0.496,0,0.112,0.627,156.027,4,1129680
"2sTDlCxmuZCTDKKk9f1qus","WHERE SHE GOES","Bad Bunny","2023-10-18 00:00:00.000000000",true,231704,0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,4,1129679
"1ODFVLQszq0hCOdZtqV5wq","MR. OCTOBER","Bad Bunny","2023-10-18 00:00:00.000000000",true,189258,0.805,0.612,8,-5.682,0,0.172,0.188,0.0000196,0.134,0.425,126.013,4,1129678
"3NhstUmrlhaN1M6hP8zMbb","BABY NUEVA","Bad Bunny","2023-10-18 00:00:00.000000000",true,240773,0.866,0.63,10,-4.816,0,0.0616,0.504,0.000505,0.328,0.359,117.924,4,1129677
"5ixdmTpCmH5diBA1j154wN","UN PREVIEW","Bad Bunny","2023-10-18 00:00:00.000000000",true,165582,0.795,0.815,1,-3.322,1,0.0821,0.0368,0.0000382,0.227,0.334,94.991,4,1129676
"0O3U5iwTbiXCREMkvotJuN","EL AMOR DE SU VIDA","Grupo Frontera, Grupo Firme","2023-10-18 00:00:00.000000000",false,165848,0.616,0.834,9,-3.069,1,0.0664,0.06,0,0.338,0.746,151.701,4,1129675
